"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7985","multiple","chromium","Thu May 08 19:44:48 IST 2025","passed","Thu May 08 19:44:56 IST 2025","","locatemultipleelement.spec.js","",""
"","929","test1","Google Chrome","Mon Jun 02 15:53:58 IST 2025","passed","Mon Jun 02 15:53:59 IST 2025","group1","grouping.spec.js","",""
"","812","test5 @sanity @reg","chromium","Fri Jun 06 13:49:17 IST 2025","passed","Fri Jun 06 13:49:18 IST 2025","","tag.spec.js","",""
"","10244","dialogs prompt alert accepted","chromium","Thu May 29 19:56:32 IST 2025","passed","Thu May 29 19:56:42 IST 2025","","alerts.spec.js","",""
"","343","test5","chromium","Tue Jun 03 11:19:07 IST 2025","passed","Tue Jun 03 11:19:08 IST 2025","","annotation.spec.js","",""
"","14404","dialogs prompt alert dismiss","chromium","Thu May 29 19:56:17 IST 2025","passed","Thu May 29 19:56:31 IST 2025","","alerts.spec.js","",""
"","2685","launch store","chromium","Fri Jun 06 21:16:06 IST 2025","passed","Fri Jun 06 21:16:09 IST 2025","","launchstore.spec.js","",""
"","7063","launch store","webkit","Fri Jun 06 20:40:59 IST 2025","passed","Fri Jun 06 20:41:06 IST 2025","","launchstore.spec.js","",""
"","3467","test1","Google Chrome","Fri Jun 06 14:20:39 IST 2025","passed","Fri Jun 06 14:20:43 IST 2025","","tag.spec.js","",""
"","859","test2","Google Chrome","Mon Jun 02 15:42:51 IST 2025","passed","Mon Jun 02 15:42:52 IST 2025","","grouping.spec.js","",""
"","17338","pom login","chromium","Fri Jun 06 18:17:08 IST 2025","passed","Fri Jun 06 18:17:25 IST 2025","","pomtest.spec.js","",""
"","1028","test5 @sanity @reg","Google Chrome","Tue Jun 03 22:00:29 IST 2025","passed","Tue Jun 03 22:00:30 IST 2025","","tag.spec.js","",""
"","8987","Assertion test","chromium","Thu May 08 19:44:39 IST 2025","passed","Thu May 08 19:44:48 IST 2025","","assercion.spec.js","",""
"","801","test5 @sanity @reg","firefox","Tue Jun 03 22:00:37 IST 2025","passed","Tue Jun 03 22:00:38 IST 2025","","tag.spec.js","",""
"","1308","test2 @sanity","firefox","Tue Jun 03 22:00:34 IST 2025","passed","Tue Jun 03 22:00:35 IST 2025","","tag.spec.js","",""
"","845","test2","Google Chrome","Mon Jun 02 15:53:59 IST 2025","passed","Mon Jun 02 15:54:00 IST 2025","group1","grouping.spec.js","",""
"","1836","test2 @sanity","webkit","Tue Jun 03 22:00:28 IST 2025","passed","Tue Jun 03 22:00:30 IST 2025","","tag.spec.js","",""
